account	studentcode	gender	yearofbirth	grade	type
B30924	24160328	男	1988	2011	博士
B30929	64132713	男	1979	2011	博士
B30937	58074437	男	1991	2010	本科
B30944	44194029	男	1985	2014	硕士
B30956	31113739	男	1991	2014	博士
B30964	67159915	女	1992	2014	硕士
B30978	39065892	男	1993	2012	本科
B30985	85161082	男	1989	2012	硕士
B30988	56052680	女	1994	2012	本科
B30990	54054615	女	1995	2013	本科
B30991	15056854	女	1995	2013	本科
B30995	49052375	男	1991	2010	本科
B31026	75127762	女	1990	2012	硕士
B31042	42148855	女	1991	2013	硕士
B31045	23129507	女	1987	2014	博士
B31046	48076260	男	1996	2014	本科
B31055	56180773	女	1990	2013	硕士
B31067	44059728	女	1994	2012	本科
B31069	39133404	女	1991	2013	硕士
B31072	44121215	男	1990	2014	硕士
B31076	99140554	女	1990	2013	硕士
B31116	63045078	男	1990	2008	本科
B31131	68176224	男	1986	2011	博士
B31133	33125423	女	1985	2014	硕士
B31148	47175932	男	1989	2012	硕士
B31163	78062937	女	1995	2013	本科
B31190	14060384	男	1995	2013	本科
B31237	53110242	男	1991	2014	硕士
B31254	84117463	女	1988	2012	硕士
B31292	86170664	女	1993	2014	硕士
B31298	31057805	女	1992	2010	本科
B31299	91023021	女	1995	2013	本科
B31306	84087360	女	1993	2012	本科
B31342	27123031	女	1988	2013	博士
B31362	76180772	女	1990	2013	硕士
B31388	43042916	男	1992	2010	本科
B31438	96064195	男	1994	2013	本科
B31441	17172160	男	1990	2012	硕士
B31459	77154688	女	1990	2012	硕士
B31470	82082724	男	1993	2011	本科
B31511	14160948	男	1988	2012	硕士
B31517	85110155	女	1990	2012	硕士
B31524	84055747	男	1994	2013	本科
B31555	49183961	男	1988	2012	硕士
B31565	34128070	女	1990	2013	硕士
B31590	99194087	男	1989	2014	硕士
B31641	41126390	男	1991	2012	硕士
B31684	34141393	男	1988	2014	博士
B31703	11066639	男	1993	2010	本科
B31723	29130918	女	1990	2012	硕士
B31724	73050856	男	1992	2012	本科
B31757	31048390	男	1997	2014	本科
B31762	25063286	男	1997	2014	本科
B31769	63181761	男	1981	2011	硕士
B31776	67180835	男	1992	2014	硕士
B31782	65122020	女	1989	2012	硕士
B31798	31059526	男	1992	2011	本科
B31808	89140036	男	1990	2012	硕士
B31811	42183900	女	1991	2014	硕士
B31844	41176296	女	1990	2012	硕士
B31857	31109264	女	1991	2013	硕士
B31860	67183608	男	1991	2014	博士
B31861	57113747	女	1992	2014	博士
B31866	88130886	男	1980	2012	博士
B31891	86115890	女	1990	2012	硕士
B31900	18032263	男	1996	2014	本科
B31913	24143594	男	1990	2012	硕士
B31938	85130134	男	1992	2014	硕士
B31969	18147907	男	1983	2012	硕士
B31987	74060467	女	1993	2010	本科
B31991	67180152	女	1991	2013	硕士
B32010	28160115	女	1990	2011	博士
B32044	78023534	女	1994	2012	本科
B32050	86174121	女	1982	2009	博士
B32076	46056266	男	1995	2013	本科
B32081	78161261	女	1990	2012	硕士
B32111	28175860	女	1992	2014	硕士
B32133	76051376	男	1995	2014	本科
B32145	22160561	女	1983	2012	硕士
B32159	33115266	男	1987	2010	博士
B32161	85093586	女	1993	2011	本科
B32168	64034397	男	1992	2010	本科
B32178	49055274	男	1992	2010	本科
B32182	66137857	女	1990	2012	硕士
B32204	81109153	女	1989	2012	硕士
B32209	64045694	男	1993	2012	本科
B32227	67183089	男	1991	2014	硕士
B32237	71055974	女	1996	2014	本科
B32242	24175482	女	1986	2008	博士
B32243	57050709	女	1994	2012	本科
B32248	54177648	女	1988	2014	硕士
B32292	94164862	男	1990	2011	博士
B32298	26053563	女	1993	2011	本科
B32299	27161331	女	1989	2012	硕士
B32309	67082105	女	1995	2013	本科
B32324	88173190	男	1988	2011	博士
B32357	33019566	女	1994	2013	本科
B32362	14113794	男	1987	2012	硕士
B32363	38056466	男	1995	2013	本科
B32402	48123320	男	1985	2012	硕士
B32408	62159233	男	1990	2012	博士
B32428	54173413	男	1989	2012	硕士
B32446	66166783	男	1981	2010	博士
B32525	61051615	女	1995	2013	本科
B32532	93174166	男	1987	2012	硕士
B32545	52112496	女	1990	2012	硕士
B32552	17171140	女	1990	2012	硕士
B32568	69170776	男	1989	2012	硕士
B32569	48126788	女	1990	2013	硕士
B32584	13053567	男	1995	2013	本科
B32600	26140112	女	1992	2014	硕士
B32603	39126442	女	1987	2011	硕士
B32629	64161547	男	1990	2013	硕士
B32647	61109898	女	1989	2012	硕士
B32654	22117037	女	1989	2012	硕士
B32673	18056780	男	1993	2010	本科
B32702	87162906	女	1990	2012	硕士
B32711	51160910	女	1990	2012	硕士
B32727	92067834	男	1996	2014	本科
B32731	25140970	女	1988	2012	硕士
B32743	67118476	男	1987	2012	博士
B32745	87056855	男	1995	2013	本科
B32751	33111241	男	1991	2013	硕士
B32763	31010017	男	1995	2013	本科
B32764	65134955	男	1990	2013	硕士
B32766	39161571	女	1992	2014	硕士
B32776	41070097	女	1992	2011	本科
B32782	77139096	男	1986	2012	博士
B32783	23173800	男	1986	2013	博士
B32788	38056833	男	1993	2010	本科
B32815	36145929	女	1990	2012	硕士
B32884	69159091	男	1986	2014	硕士
B32960	41074159	女	1993	2011	本科
B32981	31076421	男	1994	2012	本科
B32989	78033644	女	1994	2012	本科
B32990	77069130	女	1995	2012	本科
B33011	46067396	女	1994	2013	本科
B33016	24102669	男	1993	2011	本科
B33017	55109151	女	1991	2012	硕士
B33018	57098062	男	1994	2012	本科
B33024	14066692	男	1993	2012	本科
B33029	41056015	男	1991	2010	本科
B33045	88065124	男	1995	2013	本科
B33050	79170817	男	1985	2009	博士
B33077	31174079	男	1988	2014	硕士
B33094	93181529	女	1992	2014	硕士
B33104	88132338	女	1991	2013	硕士
B33124	19182180	女	1992	2013	硕士
B33132	64105207	女	1995	2013	本科
B33168	26179535	女	1988	2012	硕士
B33246	53175469	男	1988	2012	硕士
B33268	56080411	男	1993	2011	本科
B33273	38066095	男	1996	2013	本科
B33274	39014889	男	1994	2013	本科
B33282	65134488	男	1990	2013	硕士
B33302	38183889	男	1991	2014	硕士
B33307	29088122	男	1993	2011	本科
B33309	35110136	女	1991	2014	博士
B33313	65122072	女	1984	2011	博士
B33340	15112589	男	1991	2012	硕士
B33343	73183606	女	1992	2014	硕士
B33350	88122986	男	1981	2011	硕士
B33359	19054242	女	1996	2014	本科
B33376	78170749	男	1990	2013	硕士
B33383	74179073	女	1990	2012	硕士
B33387	74177637	女	1991	2014	硕士
B33399	71131809	男	1985	2011	博士
B33405	41109326	男	1983	2009	博士
B33418	91111441	女	1991	2014	硕士
B33419	96159780	男	1991	2014	硕士
B33428	68057725	女	1992	2011	本科
B33451	46067179	男	1992	2011	本科
B33461	55122625	女	1990	2012	硕士
B33463	71178851	女	1992	2014	硕士
B33486	83172118	男	1992	2014	博士
B33513	51103070	男	1995	2014	本科
B33552	14178666	男	1989	2012	硕士
B33553	46063684	男	1995	2013	本科
B33565	17104232	女	1994	2012	本科
B33567	37183322	女	1991	2013	硕士
B33568	66114990	女	1989	2012	硕士
B33580	79136496	女	1988	2012	硕士
B33586	56011988	男	1995	2014	本科
B33605	15061674	男	1993	2011	本科
B33618	78164955	男	1988	2012	硕士
B33635	25138539	男	1992	2014	硕士
B33644	18068945	男	1992	2011	本科
B33645	39171626	男	1989	2012	硕士
B33646	34188057	男	1985	2012	硕士
B33681	57166020	男	1989	2012	硕士
B33702	86034281	女	1990	2008	本科
B33767	24119050	女	1987	2012	硕士
B33768	74180064	男	1993	2014	硕士
B33777	64159486	男	1991	2014	硕士
B33779	72062560	男	1996	2014	本科
B33786	41126403	男	1989	2012	硕士
B33797	32061269	女	1995	2013	本科
B33810	14159083	女	1992	2014	硕士
B33834	76171292	男	1986	2012	博士
B33862	63058085	女	1995	2013	本科
B33863	78127404	男	1991	2013	博士
B33865	23159357	男	1992	2014	硕士
B33888	19061717	男	1994	2012	本科
B33889	68170240	男	1991	2013	硕士
B33916	93060469	男	1994	2012	本科
B33923	93015189	男	1996	2014	本科
B33932	32129107	女	1984	2012	博士
B33935	16157417	男	1991	2013	硕士
B33952	81165411	女	1987	2009	博士
B33968	29050462	女	1995	2014	本科
B33982	96066471	女	1992	2011	本科
B33985	56167421	女	1992	2014	硕士
B34021	35161228	男	1990	2012	硕士
B34041	63061647	男	1994	2012	本科
B34043	39148299	男	1990	2013	硕士
B34069	39067026	女	1996	2014	本科
B34078	29128665	男	1989	2011	博士
B34079	19120862	女	1988	2012	硕士
B34102	48101746	男	1994	2013	本科
B34140	88043296	男	1995	2014	本科
B34174	73173364	女	1990	2012	硕士
B34189	34112312	男	1991	2012	硕士
B34193	59024034	男	1995	2013	本科
B34199	92059112	男	1993	2012	本科
B34200	69182008	男	1986	2013	硕士
B34227	64021004	女	1994	2012	本科
B34294	76161692	男	1991	2012	硕士
B34303	68063079	男	1992	2010	本科
B34304	58015675	男	1992	2010	本科
B34308	58129309	女	1988	2012	硕士
B34309	61170892	女	1989	2012	硕士
B34345	46042327	男	1994	2013	本科
B34372	22160935	男	1990	2012	硕士
B34387	83161249	男	1989	2012	硕士
B34391	62110837	女	1989	2013	博士
B34400	28073057	女	1994	2012	本科
B34443	85113817	男	1984	2013	硕士
B34479	17054784	女	1994	2013	本科
B34481	85167436	女	1992	2014	硕士
B34493	62064266	男	1995	2013	本科
B34564	84137841	女	1988	2012	硕士
B34568	41159132	男	1991	2014	硕士
B34584	95172462	男	1991	2013	硕士
B34598	85014384	男	1992	2012	本科
B34615	16057267	男	1996	2011	本科
B34651	61158952	男	1991	2014	硕士
B34652	86158977	男	1992	2014	硕士
B34687	57171825	女	1983	2013	硕士
B34688	39055796	男	1995	2013	本科
B34727	14150004	男	1988	2011	博士
B34739	35124476	男	1991	2014	博士
B34745	55182202	女	1979	2011	博士
B34807	13178404	男	1987	2011	博士
B34811	57050596	男	1996	2013	本科
B34835	89096664	男	1994	2013	本科
B34862	27011273	男	1992	2011	本科
B34867	41037038	女	1991	2014	博士
B34870	22136400	男	1987	2012	硕士
B34903	33176600	女	1990	2014	硕士
B34916	47140009	男	1990	2012	硕士
B34941	12179578	男	1986	2011	博士
B34948	62123163	女	1986	2014	博士
B34956	54157415	女	1991	2013	硕士
B34963	31148563	男	1991	2013	硕士
B34968	84161148	女	1989	2012	硕士
B34976	11113768	女	1991	2013	博士
B34981	56062546	男	1993	2011	本科
B34985	12132336	男	1991	2013	硕士
B35015	86160430	男	1985	2007	博士
B35040	55159355	男	1990	2014	硕士
B35051	19081897	男	1990	2009	本科
B35057	47122056	女	1988	2013	硕士
B35062	86161176	男	1989	2012	硕士
B35065	72111906	男	1991	2014	硕士
B35076	83116008	女	1989	2013	硕士
B35085	77043711	男	1992	2011	本科
B35106	84050747	男	1994	2012	本科
B35108	38173714	女	1991	2014	硕士
B35137	44140651	男	1990	2014	硕士
B35140	93127850	女	1989	2011	硕士
B35143	32034677	女	1995	2013	本科
B35192	23016658	男	1994	2013	本科
B35193	14065015	男	1996	2014	本科
B35199	33140428	男	1991	2013	硕士
B35221	74071644	女	1995	2013	本科
B35247	36014052	男	1994	2012	本科
B35271	42052310	男	1996	2014	本科
B35280	99177685	男	1987	2012	博士
B35285	37066326	女	1995	2013	本科
B35299	13171848	男	1990	2013	硕士
B35306	28119028	女	1989	2012	硕士
B35307	14109659	男	1987	2012	硕士
B35334	19034916	男	1991	2014	硕士
B35357	82060828	男	1995	2013	本科
B35388	36067867	男	1994	2012	本科
B35412	63109334	男	1981	2011	硕士
B35416	87162742	男	1989	2012	硕士
B35420	89158106	男	1991	2013	博士
B35421	45061945	男	1995	2013	本科
B35447	37121733	男	1987	2013	硕士
B35448	86066200	女	1995	2013	本科
B35468	77091472	女	1990	2010	本科
B35472	94171284	男	1985	2013	硕士
B35478	57130787	男	1985	2011	博士
B35489	26032944	女	1993	2011	本科
B35491	53123371	女	1991	2014	博士
B35541	16169613	女	1989	2012	硕士
B35610	48161299	男	1990	2012	硕士
B35619	92122857	男	1989	2014	硕士
B35697	54058139	男	1994	2011	本科
B35702	46051305	男	1997	2014	本科
B35722	25051251	女	1992	2011	本科
B35749	31148301	男	1990	2013	硕士
B35754	91119403	男	1990	2013	硕士
B35762	18067091	男	1995	2014	本科
B35766	58014330	男	1991	2010	本科
B35774	85015118	女	1996	2014	本科
B35813	92159154	男	1992	2014	硕士
B35833	92009891	男	1994	2012	本科
B35853	26135544	女	1987	2013	硕士
B35863	57178296	男	1990	2012	博士
B35881	49059600	女	1995	2012	本科
B35884	81144247	女	1979	2014	博士
B35913	43148737	男	1990	2013	硕士
B35914	99066893	男	1994	2013	本科
B35921	69122898	男	1990	2012	硕士
B35923	39188345	男	1984	2013	硕士
B35930	91160951	男	1989	2012	硕士
B35950	14125395	女	1992	2014	硕士
B35953	26121026	女	1983	2011	硕士
B36042	61162878	女	1991	2014	硕士
B36049	73104856	女	1995	2013	本科
B36051	56129156	男	1988	2014	博士
B36060	41073282	男	1993	2011	本科
B36066	25138632	女	1989	2011	硕士
B36092	98140294	女	1988	2012	硕士
B36105	14054843	男	1997	2014	本科
B36119	72053079	女	1994	2012	本科
B36135	69183461	男	1988	2012	硕士
B36145	74122141	男	1981	2011	博士
B36205	54111169	男	1991	2014	博士
B36220	78063307	女	1994	2012	本科
B36225	96020232	男	1994	2012	本科
B36247	64160872	男	1990	2012	硕士
B36251	43047445	女	1990	2010	本科
B36266	75114329	女	1985	2008	博士
B36271	85063810	男	1996	2014	本科
B36279	45149118	女	1989	2012	博士
B36305	16115138	女	1986	2013	硕士
B36311	34121666	女	1988	2014	硕士
B36321	94054439	男	1993	2011	本科
B36322	43062979	女	1997	2013	本科
B36323	63050336	女	1995	2013	本科
B36324	32068821	男	1997	2014	本科
B36335	61132137	女	1985	2012	硕士
B36360	85161451	男	1990	2012	硕士
B36361	31068510	男	1993	2012	本科
B36394	64016596	女	1993	2011	本科
B36430	91057877	男	1995	2013	本科
B36458	87056359	男	1993	2011	本科
B36467	92046714	男	1992	2011	本科
B36470	43108948	女	1991	2013	硕士
B36475	73060867	男	1992	2011	本科
B36514	94052125	男	1992	2011	本科
B36522	17036228	男	1993	2011	本科
B36524	34052187	男	1992	2011	本科
B36531	37165510	女	1987	2013	博士
B36544	88078415	男	1993	2011	本科
B36578	49127408	女	1984	2013	博士
B36581	36066079	男	1995	2013	本科
B36592	57148683	女	1990	2013	硕士
B36597	63177112	女	1988	2012	硕士
B36600	51076505	女	1995	2013	本科
B36606	64017392	男	1995	2013	本科
B36622	93113902	男	1987	2012	博士
B36626	62097327	男	1992	2010	本科
B36627	25065918	男	1993	2011	本科
B36648	88159018	男	1992	2014	硕士
B36662	82129459	女	1988	2013	硕士
B36665	75138288	男	1990	2014	硕士
B36668	21167438	男	1993	2014	硕士
B36676	78175433	男	1990	2013	博士
B36688	79102288	女	1994	2012	本科
B36694	14066872	男	1996	2014	本科
B36727	53007408	女	1994	2012	本科
B36741	34104315	女	1992	2010	本科
B36743	91132943	男	1991	2013	博士
B36771	36067701	男	1993	2012	本科
B36781	65048341	女	1995	2014	本科
B36794	76128959	男	1965	2008	博士
B36804	84104328	女	1994	2012	本科
B36806	69181133	男	1990	2013	硕士
B36815	95148566	男	1991	2013	硕士
B36823	86183967	男	1989	2011	硕士
B36825	87008732	男	1995	2013	本科
B36853	53102287	男	1995	2013	本科
B36892	32111091	男	1986	2013	硕士
B36894	95164687	男	1988	2014	博士
B36907	14015857	男	1993	2011	本科
B36916	81160080	男	1989	2012	硕士
B36954	32130909	男	1989	2012	博士
B36966	69067420	女	1994	2011	本科
B36990	61106379	男	1994	2013	本科
B37019	23071509	女	1996	2014	本科
B37025	17058927	女	1994	2012	本科
B37031	56136493	女	1990	2012	硕士
B37039	81041709	男	1993	2011	本科
B37044	24052048	男	1992	2010	本科
B37051	54123935	男	1981	2013	硕士
B37052	69060755	男	1996	2014	本科
B37064	73055376	女	1993	2011	本科
B37088	39048769	男	1994	2012	本科
B37096	49054947	女	1995	2013	本科
B37099	58170815	女	1992	2014	硕士
B37107	14062555	女	1992	2010	本科
B37109	29054239	男	1996	2013	本科
B37123	25052526	女	1991	2012	本科
B37135	57016691	女	1991	2010	本科
B37143	38065840	男	1994	2013	本科
B37152	41172096	女	1992	2014	硕士
B37164	47175213	女	1989	2013	硕士
B37167	79164430	女	1991	2014	硕士
B37168	76141378	女	1991	2014	硕士
B37211	46066305	女	1992	2011	本科
B37216	58050008	男	1994	2012	本科
B37233	73123049	男	1986	2012	硕士
B37262	13136041	女	1991	2013	硕士
B37263	42132047	女	1990	2014	硕士
B37297	93121103	女	1991	2014	硕士
B37298	93162567	男	1993	2014	硕士
B37302	84109333	男	1991	2012	硕士
B37318	92091380	男	1993	2011	本科
B37321	51167783	男	1989	2014	博士
B37346	92161050	女	1990	2012	硕士
B37347	58193054	男	1986	2014	硕士
B37351	11037162	男	1994	2012	本科
B37365	66066194	女	1995	2014	本科
B37384	25038405	男	1993	2011	本科
B37400	33058705	女	1995	2013	本科
B37404	59173104	男	1990	2013	硕士
B37433	66057429	女	1991	2010	本科
B37434	59148554	男	1990	2013	硕士
B37436	54102362	女	1997	2014	本科
B37489	36123967	男	1990	2013	硕士
B37490	85184122	女	1990	2014	硕士
B37497	58139920	男	1985	2014	硕士
B37538	55183440	女	1992	2014	硕士
B37563	62105442	男	1992	2011	本科
B37578	84066769	男	1994	2013	本科
B37582	32055636	男	1992	2012	本科
B37600	65161310	男	1990	2012	硕士
B37633	14067001	男	1994	2013	本科
B37645	25172191	男	1988	2012	博士
B37660	59169789	女	1989	2013	硕士
B37664	14178950	男	1988	2014	博士
B37673	28107244	女	1994	2014	本科
B37678	69131334	女	1988	2013	硕士
B37679	77110044	女	1989	2012	博士
B37730	99164839	女	1989	2012	硕士
B37742	13127678	男	1990	2013	博士
B37747	75062561	男	1996	2012	本科
B37764	59051979	女	1993	2011	本科
B37789	98166581	女	1988	2012	硕士
B37791	49110015	男	1990	2014	硕士
B37816	84080590	女	1995	2013	本科
B37825	44055795	男	1994	2012	本科
B37844	53062731	女	1995	2013	本科
B37864	93085546	男	1994	2012	本科
B37885	28127807	男	1992	2012	硕士
B37891	12110617	男	1989	2012	硕士
B37894	39067256	男	1996	2014	本科
B37927	24106390	女	1997	2014	本科
B37936	43055578	女	1993	2011	本科
B37948	35162715	男	1981	2009	博士
B37963	73160605	男	1990	2012	硕士
B38064	36171564	女	1993	2014	硕士
B38079	88154700	女	1989	2012	硕士
B38101	45132872	女	1990	2013	硕士
B38103	64066293	女	1995	2013	本科
B38108	22065460	男	1994	2012	本科
B38110	22148763	男	1991	2013	硕士
B38145	54161532	男	1989	2012	硕士
B38157	79058611	男	1992	2011	本科
B38161	64018513	男	1994	2013	本科
B38162	24159542	男	1992	2014	硕士
B38164	37182370	女	1992	2014	硕士
B38168	37042692	女	1993	2011	本科
B38193	43180290	男	1972	2012	硕士
B38194	88179064	女	1990	2012	硕士
B38208	85059095	女	1993	2011	本科
B38229	62176987	男	1990	2013	硕士
B38274	44180914	男	1991	2013	硕士
B38291	56171134	女	1990	2012	硕士
B38306	74001913	男	1996	2013	本科
B38339	83067380	女	1997	2014	本科
B38372	94109753	男	1989	2013	硕士
B38375	71157814	男	1988	2011	硕士
B38378	41173287	男	1991	2014	硕士
B38398	78159242	男	1991	2014	博士
B38417	12055960	女	1993	2011	本科
B38418	64140913	女	1988	2013	博士
B38440	22017537	女	1992	2010	本科
B38509	86069771	女	1991	2010	本科
B38593	75178261	男	1990	2013	硕士
B38618	56064258	男	1995	2014	本科
B38640	99087481	女	1994	2012	本科
B38649	19161344	女	1991	2012	硕士
B38654	38060767	男	1996	2012	本科
B38672	72042019	男	1993	2010	本科
B38695	39158943	男	1991	2014	硕士
B38718	36159790	女	1991	2014	硕士
B38747	23159689	女	1992	2014	硕士
B38757	16077748	男	1996	2014	本科
B38775	72013484	女	1992	2010	本科
B38803	83086233	女	1994	2013	本科
B38807	57158100	男	1990	2013	博士
B38816	55139242	女	1980	2013	硕士
B38825	94038179	女	1992	2011	本科
B38831	55161044	女	1990	2012	硕士
B38835	35146112	男	1990	2012	硕士
B38841	63169799	男	1990	2013	硕士
B38844	59148584	男	1991	2013	硕士
B38865	89139420	男	1975	2011	博士
B38873	81135591	男	1987	2013	博士
B38887	25175930	男	1990	2012	硕士
B38912	57092063	女	1996	2014	本科
B38919	53070285	女	1994	2013	本科
B38920	73138256	女	1989	2012	博士
B38939	42056945	男	1994	2012	本科
B38958	34138889	女	1987	2012	博士
B38961	79118436	男	1990	2013	硕士
B38967	64134208	男	1991	2014	硕士
B38977	97149117	女	1990	2012	博士
B38982	36138298	男	1987	2014	博士
B39028	31038088	男	1993	2013	本科
B39086	96017105	女	1995	2013	本科
B39110	58053355	女	1994	2012	本科
B39122	64066239	男	1995	2013	本科
B39143	25112899	男	1990	2013	硕士
B39158	17056882	女	1993	2012	本科
B39170	44077648	女	1993	2013	本科
B39173	49114128	男	1988	2012	硕士
B39177	51145939	男	1986	2012	硕士
B39180	29067294	男	1996	2014	本科
B39184	26172142	男	1991	2013	硕士
B39186	44194247	男	1987	2014	硕士
B39207	18132130	女	1981	2011	博士
B39227	92123767	男	1985	2012	硕士
B39231	83160987	男	1990	2012	硕士
B39234	11148647	男	1991	2013	硕士
B39271	86019596	女	1995	2013	本科
B39286	29145295	男	1991	2013	硕士
B39289	26055894	女	1992	2014	本科
B39290	27117063	女	1981	2015	硕士
B39301	67072513	男	1995	2013	本科
B39307	56123184	女	1990	2012	硕士
B39308	26183144	女	1988	2012	硕士
B39312	59176728	女	1990	2013	硕士
B39327	21126334	男	1989	2013	博士
B39381	92049459	男	1995	2014	本科
B39389	48120699	男	1985	2010	博士
B39410	84137945	女	1988	2013	硕士
B39414	46055452	女	1994	2012	本科
B39416	68148791	女	1990	2013	硕士
B39430	29170826	男	1989	2012	硕士
B39431	43019716	男	1993	2012	本科
B39435	59058792	女	1994	2013	本科
B39436	16110062	女	1987	2013	硕士
B39438	73114082	男	1990	2014	博士
B39451	55140672	男	1986	2010	博士
B39464	77112803	女	1991	2013	硕士
B39480	56132944	男	1990	2012	硕士
B39513	62033539	女	1994	2012	本科
B39536	85122149	女	1990	2012	硕士
B39546	95165445	女	1989	2012	硕士
B39556	92122262	女	1989	2013	硕士
B39568	76141375	男	1990	2014	博士
B39574	67175888	男	1991	2014	硕士
B39588	31160906	女	1991	2012	硕士
B39589	29162910	女	1989	2012	硕士
B39610	53031067	女	1993	2011	本科
B39612	85052792	男	1994	2012	本科
B39622	97101740	女	1995	2013	本科
B39624	44065380	男	1993	2011	本科
B39626	26043101	男	1994	2013	本科
B39633	23167506	女	1989	2012	硕士
B39642	69055428	男	1995	2013	本科
B39675	24040049	男	1994	2011	本科
B39676	41109729	男	1989	2012	硕士
B39680	39131805	女	1991	2014	硕士
B39683	81183158	男	1988	2012	硕士
B39689	68108246	男	1992	2010	本科
B39700	23054422	男	1992	2011	本科
B39701	52055954	男	1995	2013	本科
B39713	39097915	男	1996	2014	本科
B39714	68062338	男	1995	2014	本科
B39718	13067214	男	1996	2014	本科
B39745	23066308	女	1992	2010	本科
B39747	66119053	男	1989	2012	硕士
B39762	39065337	男	1995	2013	本科
B39787	62060170	女	1996	2013	本科
B39802	46110092	男	1985	2013	博士
B39814	68131947	女	1990	2013	硕士
B39815	42118825	男	1991	2013	博士
B39821	38177134	女	1990	2012	博士
B39840	81172449	男	1990	2013	硕士
B39847	65139295	男	1992	2013	硕士
B39858	97065971	男	1992	2010	本科
B39877	45148739	女	1991	2013	硕士
B39878	72066926	女	1995	2014	本科
B39881	23077201	男	1993	2011	本科
B39903	44120685	女	1990	2014	硕士
B39915	46127781	男	1987	2012	硕士
B39919	15134854	男	1987	2014	硕士
B39930	83065574	女	1995	2014	本科
B39935	84182680	男	1989	2013	硕士
B39936	35182665	男	1991	2013	硕士
B39952	44164826	女	1990	2013	博士
B39977	66181805	女	1986	2010	博士
B40000	13076643	女	1995	2013	本科
B40010	57058847	男	1994	2012	本科
B40015	35097553	女	1994	2013	本科
B40021	34008326	男	1993	2011	本科
B40026	89113166	女	1993	2014	硕士
B40040	69056243	男	1996	2014	本科
B40050	51111982	男	1983	2012	博士
B40051	23161204	男	1990	2012	硕士
B40054	62161362	男	1990	2012	硕士
B40087	43059183	女	1993	2011	本科
B40103	27021053	女	1996	2014	本科
B40161	18162659	女	1988	2009	博士
B40163	51148712	女	1989	2013	硕士
B40183	84065974	男	1994	2011	本科
B40186	65159435	女	1991	2014	硕士
B40190	49130357	女	1990	2013	硕士
B40214	54158198	男	1988	2011	硕士
B40218	93070485	女	1994	2012	本科
B40223	63170237	男	1990	2013	硕士
B40236	64087860	女	1993	2011	本科
B40239	67060734	女	1992	2011	本科
B40244	68129307	女	1989	2012	硕士
B40247	66129328	男	1990	2013	硕士
B40254	79034688	女	1993	2011	本科
B40268	98106321	男	1995	2013	本科
B40276	36173420	男	1990	2012	硕士
B40284	28148716	男	1990	2013	硕士
B40285	22065277	女	1996	2014	本科
B40289	14007832	男	1992	2010	本科
B40293	48060936	男	1993	2011	本科
B40297	81060052	女	1994	2012	本科
B40312	47063187	男	1993	2012	本科
B40315	53052794	女	1995	2013	本科
B40327	38161323	男	1989	2012	硕士
B40339	99161420	男	1985	2007	博士
B40348	81165363	男	1993	2014	硕士
B40352	77104934	男	1993	2011	本科
B40367	27058124	男	1993	2011	本科
B40390	83016646	女	1993	2012	本科
B40391	64193305	男	1985	2014	硕士
B40405	53067331	男	1995	2013	本科
B40417	25161536	女	1989	2012	硕士
B40436	46135253	女	1990	2012	硕士
B40458	81162217	男	1981	2013	硕士
B40459	43161516	女	1990	2012	硕士
B40461	52174168	男	1990	2012	硕士
B40478	87055198	女	1994	2012	本科
B40494	49160451	女	1992	2014	硕士
B40520	69140310	女	1984	2011	博士
B40529	29063017	男	1995	2012	本科
B40533	17140548	女	1990	2013	硕士
B40550	97182674	男	1985	2013	硕士
B40553	75172192	男	1990	2012	硕士
B40581	35129799	女	1991	2013	博士
B40584	15088279	男	1994	2012	本科
B40586	28148291	男	1991	2013	硕士
B40587	59050768	女	1994	2013	本科
B40592	78148330	男	1991	2013	硕士
B40599	12133519	女	1985	2008	博士
B40620	71128202	男	1988	2011	博士
B40635	42100686	男	1993	2011	本科
B40642	85180746	女	1990	2012	博士
B40664	73184018	男	1988	2012	博士
B40669	71128203	女	1989	2012	硕士
B40673	16182068	男	1988	2014	博士
B40679	66122007	女	1986	2014	博士
B40709	23066544	男	1995	2012	本科
B40718	11072509	女	1995	2013	本科
B40724	51067383	男	1993	2012	本科
B40743	87068958	女	1995	2014	本科
B40785	55138701	男	1986	2013	硕士
B40799	12066679	女	1995	2012	本科
B40825	97108937	男	1991	2013	硕士
B40841	73160165	男	1990	2013	硕士
B40843	83120028	男	1992	2014	硕士
B40850	44159324	女	1990	2012	博士
B40851	59050802	女	1996	2014	本科
B40858	47061431	男	1994	2013	本科
B40907	35110363	女	1990	2014	硕士
B40915	81140910	女	1989	2012	硕士
B40961	98165367	女	1991	2014	硕士
B40969	72147969	男	1988	2013	硕士
B41011	36160824	女	1989	2012	硕士
B41012	42123044	男	1989	2012	硕士
B41022	66126356	男	1991	2014	硕士
B41031	22060281	男	1995	2012	本科
B41040	96049592	男	1995	2013	本科
B41041	75079068	男	1996	2014	本科
B41064	75114318	男	1986	2014	博士
B41093	82126433	男	1992	2012	硕士
B41108	64120277	男	1990	2013	硕士
B41126	87134883	女	1984	2007	博士
B41129	23080595	男	1993	2012	本科
B41135	24046508	男	1993	2011	本科
B41140	74112462	女	1988	2013	博士
B41147	56126393	男	1989	2012	硕士
B41149	32161590	男	1989	2012	硕士
B41172	81158132	男	1987	2013	博士
B41185	66070030	女	1993	2011	本科
